                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     81,                 1.0102,                0.68466,                 1.0597,                0.63158,                0.58413,                0.61187,                0.35363,                 1.5594,                 1.2286,                 1.3168,              0.0077371,              0.0077371,              0.0077371
                     82,                 1.0138,                0.69432,                 1.0616,                0.64703,                0.57657,                0.60938,                 0.3541,                 1.5626,                 1.2172,                 1.3415,              0.0077089,              0.0077089,              0.0077089
                     83,                 1.0044,                0.68099,                 1.0545,                0.64491,                0.58509,                 0.6184,                0.35762,                 1.5197,                 1.2291,                 1.3142,              0.0076806,              0.0076806,              0.0076806
                     84,                 1.0061,                0.68626,                 1.0585,                0.60118,                0.60237,                0.61403,                0.34376,                 1.6186,                 1.2356,                 1.3708,              0.0076523,              0.0076523,              0.0076523
                     85,                 1.0015,                0.68249,                  1.056,                0.60717,                0.60516,                0.60998,                0.35257,                 1.5767,                 1.2422,                 1.3388,               0.007624,               0.007624,               0.007624
                     86,                 1.0003,                 0.6797,                 1.0555,                0.64662,                  0.587,                0.61992,                0.36266,                 1.5555,                 1.2317,                 1.3364,              0.0075957,              0.0075957,              0.0075957
                     87,                0.99084,                0.67262,                 1.0527,                0.65858,                0.58273,                0.62609,                0.36131,                 1.5551,                 1.1744,                 1.3315,              0.0075674,              0.0075674,              0.0075674
                     88,                0.99466,                0.67684,                 1.0518,                0.60697,                0.61271,                0.61585,                0.35946,                 1.5484,                 1.2152,                  1.335,              0.0075391,              0.0075391,              0.0075391
                     89,                0.99813,                0.68113,                 1.0565,                0.65567,                0.56501,                0.60076,                0.35756,                 1.5598,                 1.2249,                 1.3472,              0.0075109,              0.0075109,              0.0075109
                     90,                 0.9792,                0.66075,                 1.0453,                0.67241,                0.58413,                0.62846,                 0.3635,                 1.5664,                 1.1876,                 1.3415,              0.0074826,              0.0074826,              0.0074826
                     91,                 1.0147,                0.68844,                 1.0581,                0.64689,                0.57935,                0.62882,                0.36023,                 1.5814,                 1.1789,                  1.348,                   0.01,                   0.01,                   0.01
                     92,                 1.0128,                0.69795,                 1.0625,                0.60462,                 0.5717,                0.60851,                0.35669,                 1.5592,                 1.2269,                 1.3381,              0.0099717,              0.0099717,              0.0099717
                     93,                 1.0238,                0.70267,                 1.0634,                0.66365,                0.56597,                0.61794,                0.35188,                 1.5544,                  1.185,                 1.3397,              0.0099434,              0.0099434,              0.0099434
                     94,                 1.0209,                0.69515,                 1.0637,                0.64073,                0.56214,                0.62318,                0.35515,                 1.5731,                 1.1835,                 1.3339,              0.0099151,              0.0099151,              0.0099151
                     95,                  1.021,                0.69885,                 1.0632,                0.63982,                0.58413,                0.61056,                0.35713,                 1.5322,                 1.1923,                 1.3135,              0.0098869,              0.0098869,              0.0098869
                     96,                 1.0163,                0.69155,                 1.0598,                0.61853,                0.60707,                 0.6265,                0.35578,                  1.577,                  1.199,                 1.3369,              0.0098586,              0.0098586,              0.0098586
                     97,                 1.0199,                0.70102,                 1.0598,                0.65698,                0.56405,                0.61816,                0.36592,                 1.5304,                 1.2089,                 1.3065,              0.0098303,              0.0098303,              0.0098303
                     98,                 1.0123,                0.68736,                 1.0566,                0.64584,                0.58054,                0.60425,                0.35288,                  1.576,                 1.2161,                 1.3322,               0.009802,               0.009802,               0.009802
                     99,                 1.0057,                0.68459,                 1.0606,                0.63377,                0.57906,                0.61261,                0.36477,                 1.5487,                 1.2193,                 1.3316,              0.0097737,              0.0097737,              0.0097737
                    100,                 1.0117,                0.69417,                 1.0606,                0.65364,                0.56832,                0.60337,                0.35814,                 1.5537,                 1.2344,                 1.3373,              0.0097454,              0.0097454,              0.0097454
                    101,                 1.0142,                0.69148,                 1.0592,                0.62468,                0.56979,                  0.601,                0.35818,                 1.5696,                 1.2223,                 1.3484,              0.0097171,              0.0097171,              0.0097171
                    102,                 1.0041,                0.68323,                 1.0558,                0.64835,                0.59082,                0.61795,                 0.3671,                 1.5305,                  1.197,                 1.3175,              0.0096889,              0.0096889,              0.0096889
                    103,                 1.0117,                0.68939,                 1.0634,                 0.6682,                0.55736,                0.62337,                0.36768,                 1.5511,                 1.1748,                 1.3398,              0.0096606,              0.0096606,              0.0096606
                    104,                 1.0061,                0.68204,                 1.0536,                0.62554,                0.59731,                0.61794,                0.36344,                 1.5796,                 1.1922,                 1.3447,              0.0096323,              0.0096323,              0.0096323
                    105,                0.99854,                 0.6768,                  1.051,                0.64165,                0.59943,                0.62745,                0.37038,                 1.5587,                 1.1733,                 1.3243,               0.009604,               0.009604,               0.009604
                    106,                 1.0004,                 0.6774,                 1.0542,                0.66307,                0.58126,                0.62023,                0.36578,                 1.5364,                 1.1814,                 1.3153,              0.0095757,              0.0095757,              0.0095757
                    107,                0.99956,                0.67591,                 1.0537,                0.67073,                0.58987,                0.62607,                0.36408,                 1.5616,                 1.2068,                 1.3367,              0.0095474,              0.0095474,              0.0095474
                    108,                      1,                0.67633,                 1.0525,                0.62843,                0.59503,                0.60797,                0.35689,                 1.5649,                 1.2249,                 1.3346,              0.0095191,              0.0095191,              0.0095191
